0.0           0.0           0.000
N              8031         0.040          301.78        4 
N              7944         0.040          301.78        5 
N              7851         0.040          301.78        5 
N              7756         0.040          301.78        6 
N              7661         0.040          250           6 
N              7568         0.040          250           7 
N              7476         0.040          250           7 
N              7385         0.040          250           8 
N              7386         0.040          250           8 
N              7387         0.040          250           8 
N              7299         0.040          250           8 
N              7214         0.040          250           9 
N              7130         0.040          301.78        9 
N              7048         0.040          301.78        9 
N              6969         0.040          301.78        10 
N              6896         0.040          353.55        10 
N              6824         0.040          301.78        10 
N              6752         0.040          250           10 
N              6681         0.040          301.78        11 
N              6611         0.040          353.55        11 
N              6539         0.040          301.78        12 
N              6466         0.040          250           12 
N              6393         0.040          250           12 
N              6314         0.040          250           13 
N              6235         0.040          250           14 
N              6236         0.040          250           14 
N              6237         0.040          301.78        14 
N              6159         0.040          301.78        14 
N              6160         0.040          301.78        15 
N              6085         0.040          353.55        15 
N              6009         0.040          301.78        15 
N              6010         0.040          250           15 
N              6011         0.040          250           15 
N              6012         0.040          250           16 
N              5934         0.040          250           16 
N              5856         0.040          250           17 
N              5779         0.040          250           17 
N              5700         0.040          301.78        17 
N              5618         0.040          301.78        18 
N              5538         0.040          250           18 
N              5457         0.040          250           18 
N              5377         0.040          250           18 
N              5297         0.040          301.78        19 
N              5217         0.040          353.55        19 
N              5139         0.040          353.55        19 
N              5062         0.040          353.55        20 
N              4988         0.040          301.78        20 
N              4914         0.040          301.78        20 
N              4838         0.040          301.78        21 
N              4760         0.040          250           21 
N              4681         0.040          250           21 
N              4601         0.040          250           21 
N              4520         0.040          250           22 
N              4433         0.040          301.78        22 
N              4344         0.040          301.78        22 
N              4253         0.040          301.78        22 
N              4164         0.040          301.78        23 
N              4075         0.040          250           23 
N              3986         0.040          250           23 
N              3897         0.040          250           23 
N              3808         0.040          301.78        24 
N              3717         0.040          301.78        24 
N              3627         0.040          250           26 
N              3535         0.040          250           26 
N              3439         0.040          250           29 
N              3440         0.040          250           29 
N              3441         0.040          250           29 
N              3343         0.040          250           29 
N              3243         0.040          301.78        29 
N              3142         0.040          353.55        29 
N              3043         0.040          353.55        29 
N              2944         0.040          353.55        30 
N              2843         0.040          301.78        30 
N              2743         0.040          301.78        30 
N              2643         0.040          301.78        31 
N              2542         0.040          301.78        31 
N              2439         0.040          353.55        32 
N              2332         0.040          301.78        32 
N              2225         0.040          250           32 
N              2117         0.040          250           33 
N              2008         0.040          250           33 
N              2009         0.040          250           33 
N              1899         0.040          250           33 
N              1790         0.040          301.78        33 
N              1681         0.040          301.78        34 
N              1574         0.040          250           34 
N              1471         0.040          250           34 
N              1369         0.040          301.78        34 
N              1274         0.040          301.78        35 
N              1275         0.040          301.78        35 
N              1372         0.040          301.78        35 
N              1373         0.040          250           36 
N              1277         0.040          250           36 
N              1189         0.040          250           36 
N              1103         0.040          250           37 
N              1020         0.040          301.78        37 
N              942          0.040          301.78        37 
N              866          0.040          301.78        37 
N              792          0.040          353.55        38 
N              719          0.040          301.78        38 
N              720          0.040          301.78        40 
N              648          0.040          301.78        42 
N              649          0.040          250           42 
N              650          0.040          301.78        42 
N              724          0.040          353.55        42 
N              799          0.040          301.78        42 
N              800          0.040          301.78        44 
N              876          0.040          301.78        44 
N              877          0.040          301.78        44 
N              803          0.040          301.78        44 
N              729          0.040          250           44 
N              656          0.040          301.78        44 
N              583          0.040          301.78        45 
N              514          0.040          250           45 
R              450          0.040          300           6             250 
0.0           0.0           0.000
R              6376         0.040          15            10            250 
R              6377         0.040          15            10            250 
R              6378         0.040          15            10            250 
R              6379         0.040          15            10            301.78 
R              6301         0.040          15            10            301.78 
R              6302         0.040          15            10            301.78 
R              6224         0.040          15            10            301.78 
R              6225         0.040          15            10            250 
R              6226         0.040          15            10            301.78 
R              6148         0.040          15            10            301.78 
R              6149         0.040          15            10            250 
R              6150         0.040          15            10            301.78 
R              6075         0.040          15            10            301.78 
R              6076         0.040          15            10            250 
R              5999         0.040          15            10            250 
R              5921         0.040          15            10            250 
R              5843         0.040          15            10            250 
R              5766         0.040          15            10            250 
R              5687         0.040          15            10            250 
R              5688         0.040          15            10            301.78 
R              5608         0.040          15            10            353.55 
R              5529         0.040          15            10            353.55 
R              5449         0.040          15            10            353.55 
R              5370         0.040          15            10            353.55 
R              5291         0.040          15            10            353.55 
R              5213         0.040          15            10            353.55 
R              5137         0.040          15            10            250 
0.0           0.0           0.000
R              7778         0.040          15            9             250 
R              7683         0.040          15            9             301.78 
R              7589         0.040          15            9             301.78 
R              7497         0.040          15            9             250 
R              7406         0.040          15            9             250 
R              7405         0.040          15            9             250 
R              7317         0.040          15            9             301.78 
R              7231         0.040          15            9             301.78 
R              7147         0.040          15            9             250 
R              7064         0.040          15            9             250 
R              6985         0.040          15            9             301.78 
R              6910         0.040          15            9             301.78 
R              6837         0.040          15            9             250 
R              6765         0.040          15            9             250 
R              6694         0.040          15            9             301.78 
R              6622         0.040          15            9             301.78 
R              6549         0.040          15            9             250 
R              6476         0.040          15            9             301.78 
R              6404         0.040          15            9             353.55 
R              6324         0.040          15            9             301.78 
R              6245         0.040          15            9             250 
R              6166         0.040          15            9             250 
R              6090         0.040          15            9             250 
0.0           0.0           0.000
R              4701         0.040          15            10            250 
R              4620         0.040          15            10            301.78 
R              4619         0.040          15            10            301.78 
R              4618         0.040          15            10            250 
R              4617         0.040          15            10            301.78 
R              4535         0.040          15            10            301.78 
R              4447         0.040          15            10            301.78 
R              4446         0.040          15            10            301.78 
R              4356         0.040          15            10            301.78 
R              4264         0.040          15            10            301.78 
R              4174         0.040          15            10            301.78 
R              4084         0.040          15            10            301.78 
R              4083         0.040          15            10            250 
R              4082         0.040          15            10            250 
R              4081         0.040          15            10            250 
R              4080         0.040          15            10            301.78 
R              4168         0.040          15            10            301.78 
R              4167         0.040          15            10            250 
R              4166         0.040          15            10            250 
R              4165         0.040          15            10            250 
0.0           0.0           0.000
R              3695         0.040          22            4.2           300 
R              3785         0.040          12            4.5           250 
R              3874         0.040          28            2.6           250 
R              3963         0.040          25            6.9           250 
R              4052         0.040          25            7.1           250 
R              4141         0.040          17            6.2           250 
R              4142         0.040          18            4             300 
R              4233         0.040          16            4             353.5 
R              4325         0.040          20            4             301.78 
R              4326         0.040          20            3             250 
R              4327         0.040          18            3             250 
R              4328         0.040          15            3.2           300 
R              4238         0.040          19            2.9           300 
R              4239         0.040          14            3             300 
R              4150         0.040          15            3             300 
R              4151         0.040          20            3             300 
R              4063         0.040          17            3.2           300 
R              4064         0.040          10            2.8           250 
R              4065         0.040          10            2.6           300 
R              3977         0.040          14            3.2           353.5 
R              3889         0.040          16            2.9           301.78 
R              3890         0.040          15            3.1           250 
R              3891         0.040          14            2.9           300 
R              3803         0.040          12            3             353.5 
R              3714         0.040          18            3.2           353.5 
R              3625         0.040          19            4             301.78 
R              3626         0.040          8             5.1           250 
0.0           0.0           0.000
R              4970         0.040          15            10            250 
R              4971         0.040          15            10            250 
R              4972         0.040          15            10            250 
R              4973         0.040          15            10            250 
R              4974         0.040          15            10            250 
R              4975         0.040          15            10            301.78 
R              4901         0.040          15            10            301.78 
R              4902         0.040          15            10            301.78 
R              4978         0.040          15            10            301.78 
R              4979         0.040          15            10            301.78 
R              5055         0.040          15            10            301.78 
R              5131         0.040          15            10            301.78 
R              5209         0.040          15            10            301.78 
R              5289         0.040          15            10            250 
0.0           0.0           0.000
R              1771         0.040          150           1             353.5 
R              1663         0.040          150           1             250 
R              1664         0.040          150           1             301.78 
R              1665         0.040          150           1             301.78 
R              1559         0.040          150           1             353.5 
R              1457         0.040          150           1             301.78 
R              1458         0.040          150           1             250 
R              1459         0.040          150           1             250 
R              1460         0.040          150           1             250 
R              1461         0.040          150           1             250 
R              1359         0.040          150           1             250 
R              1263         0.040          150           1             250 
R              1175         0.040          150           1             250 
R              1089         0.040          150           1             250 
R              1006         0.040          150           1             250 
R              929          0.040          150           1             250 
R              930          0.040          150           1             250 
R              854          0.040          150           1             250 
R              855          0.040          150           1             250 
R              856          0.040          150           1             300 
R              782          0.040          150           1             300 
R              783          0.040          150           1             250 
R              784          0.040          150           1             300 
R              860          0.040          150           1             300 
R              786          0.040          150           1             353.5 
R              713          0.040          150           1             301.78 
R              640          0.040          150           1             250 
0.0           0.0           0.000
R              2626         0.040          150           5             300 
R              2525         0.040          150           5             301.78 
R              2422         0.040          150           5             301.78 
R              2316         0.040          150           5             250 
R              2209         0.040          150           5             300 
R              2100         0.040          150           5             300 
R              1991         0.040          150           5             250 
R              1881         0.040          150           5             250 
R              1772         0.040          150           5             250 
C  3626   3535
C  1102   1020
C  646   719
C  2438   2332
C  640   568
C  503   572
C  290   238
C  408   409
C  835   836
C  838   763
C  842   768
C  549   548
C  844   921
C  1554   1555
C  1083   1000
C  928   929
C  1556   1664
C  715   642
C  941   1018
C  1100   1017
C  1184   1183
C  1367   1271
C  1466   1364
C  1676   1675
C  1784   1783
C  2003   2002
C  2219   2111
C  2636   2635
C  781   856
C  779   854
C  497   434
C  5137   5062
C  5289   5370
C  4165   4164
C  6090   6012
C  2099   2100
